asmt,fee_parcel,address,county,year,tra,roll_cat,verified_score,confidence,v_total_due,v_total_paid,v_total_balance,v_inst1_status,v_inst2_status,v_delinquent,verified_url,verified_at
800-010-694-000,107-300-033-000,1619 HILLTOP DR #A,shasta,2025,1108,CU,HOT,0.95,"$1,778.48",$0.00,"$1,778.48",LATE,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800010694000/2025/0000,2026-07-01T18:11:28.067392
052-350-053-000,052-350-053-000,2460 BALLS FERRY RD,shasta,2025,2004,CS,HOT,0.95,"$1,775.46",$0.00,"$1,775.46",LATE,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/052350053000/2025/0000,2026-07-01T07:57:34.037046
071-200-019-000,071-200-019-000,1779 CAMEO CT,shasta,2025,1016,CS,HOT,0.95,"$3,502.74","$1,734.37","$1,768.37",PAID,LATE,True,https://common2.mptsweb.com/MBC/shasta/tax/main/071200019000/2025/0000,2026-07-01T16:50:10.283084
116-350-065-001,116-350-065-000,1620 COLLYER DR,shasta,2025,1244,CS,HOT,0.85,($996.37),$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/116350065001/2025/0000,2026-07-01T18:55:05.652046
990-182-438-000,102-450-007-000,928 CYPRESS AVE,shasta,2025,1249,SS,HOT,0.85,($977.95),($977.95),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990182438000/2025/0000,2026-07-01T17:48:52.170106
096-050-005-001,096-050-005-000,7104 ALWARD RD,shasta,2025,57014,CS,HOT,0.85,($975.92),$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/096050005001/2025/0000,2026-07-01T17:37:38.853443
990-185-559-000,056-350-040-000,20350 HOLE IN ONE DR #25,shasta,2025,1282,SS,HOT,0.85,($97.99),($97.99),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990185559000/2025/0000,2026-07-01T08:16:33.130554
991-181-632-000,073-250-030-000,1779 PLAYER CT,shasta,2025,1188,SS,HOT,0.85,($96.85),($96.85),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/991181632000/2025/0000,2026-07-01T16:54:04.382031
990-183-372-000,054-850-023-000,5538 MUIR PEAK RD,shasta,2025,1136,SS,HOT,0.85,($96.42),($96.42),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990183372000/2025/0000,2026-07-01T08:06:27.934848
991-182-190-000,082-150-019-000,- RIVERVIEW DR,shasta,2025,82103,SS,HOT,0.85,($95.26),($95.26),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/991182190000/2025/0000,2026-07-01T17:15:22.854566
995-066-111-000,054-950-024-000,3032 RENAULT CT,shasta,2025,1134,SS,HOT,0.85,($94.95),($94.95),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/995066111000/2025/0000,2026-07-01T08:07:49.447623
991-182-162-000,030-200-074-000,38063 HIGHWAY 299  E,shasta,2025,77027,SS,HOT,0.85,($94.12),($94.12),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/991182162000/2025/0000,2026-07-01T07:28:54.837288
996-064-585-000,051-150-030-000,6910 LADY SMITH AVE,shasta,2025,52023,SS,HOT,0.85,($923.55),($923.55),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/996064585000/2025/0000,2026-07-01T07:52:39.980469
990-183-461-000,005-650-003-000,2141 HARDENBROOK AVE,shasta,2025,3026,SS,HOT,0.85,($92.96),($92.96),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990183461000/2025/0000,2026-07-01T06:52:26.583875
104-650-005-001,104-650-005-000,1925 WISCONSIN AVE,shasta,2025,1031,CS,HOT,0.85,($911.29),$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/104650005001/2025/0000,2026-07-01T18:04:40.714507
990-183-600-001,102-450-012-000,2163 GRAPE AVE,shasta,2025,1249,SS,HOT,0.85,($9.13),($9.13),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990183600001/2025/0000,2026-07-01T17:48:56.583538
990-184-268-000,107-350-026-000,960 HARTNELL AVE,shasta,2025,1106,SS,HOT,0.85,($9.01),($9.01),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990184268000/2025/0000,2026-07-01T18:11:54.103589
086-550-054-001,086-550-054-000,20202 SOLOMON PEAK DR,shasta,2025,2012,CS,HOT,0.85,($869.20),$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/086550054001/2025/0000,2026-07-01T17:23:09.517137
114-400-046-001,114-400-046-000,4459 HONEYCOMB WAY,shasta,2025,1095,CS,HOT,0.85,($865.78),$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/114400046001/2025/0000,2026-07-01T18:48:16.200678
991-180-837-001,109-150-021-000,2895 HAWN AVE,shasta,2025,1002,SS,HOT,0.85,($856.50),($856.50),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/991180837001/2025/0000,2026-07-01T18:21:18.500796
990-185-578-000,056-350-040-000,20350 HOLE IN ONE DR #157,shasta,2025,1282,SS,HOT,0.85,($84.65),($84.65),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990185578000/2025/0000,2026-07-01T08:16:34.492716
990-184-158-000,117-500-040-000,1103 GOLDEN GATE TRL,shasta,2025,1113,SS,HOT,0.85,($84.39),($84.39),$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/990184158000/2025/0000,2026-07-01T19:01:24.829017
830-010-965-001,102-650-029-000,3782 THOMASON TRL,shasta,2025,1249,CU,HOT,0.85,($84.13),$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/830010965001/2025/0000,2026-07-01T17:51:17.745559
