asmt,fee_parcel,address,county,year,tra,roll_cat,verified_score,confidence,v_total_due,v_total_paid,v_total_balance,v_inst1_status,v_inst2_status,v_delinquent,verified_url,verified_at
800-003-365-000,068-350-052-000,5200 CHURN CREEK RD #G,shasta,2025,1002,CU,HOT,0.85,$120.32,$120.32,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800003365000/2025/0000,2026-07-01T16:41:06.270422
800-006-515-000,068-350-052-000,5200 CHURN CREEK RD #L,shasta,2025,1002,CU,HOT,0.85,$522.18,$522.18,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800006515000/2025/0000,2026-07-01T16:41:06.935586
800-007-425-000,068-350-052-000,5200 CHURN CREEK RD #K,shasta,2025,1002,CU,HOT,0.85,$539.25,$539.25,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800007425000/2025/0000,2026-07-01T16:41:07.601405
800-010-426-000,068-350-052-000,5200 CHURN CREEK RD #C3,shasta,2025,1002,CU,HOT,0.85,$241.40,$162.35,$79.05,LATE,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800010426000/2025/0000,2026-07-01T16:41:08.268260
800-012-796-000,068-350-052-000,5200 CHURN CREEK RD #STE I,shasta,2025,1002,CU,HOT,0.85,$134.75,$134.75,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800012796000/2025/0000,2026-07-01T16:41:09.201285
800-013-114-000,068-350-052-000,5200 CHURN CREEK RD #P,shasta,2025,1002,CU,HOT,0.85,$95.41,$95.41,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800013114000/2025/0000,2026-07-01T16:41:09.923357
800-014-000-000,068-350-052-000,1401 ALROSE LN #73,shasta,2025,1002,CU,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800014000000/2025/0000,2026-07-01T16:41:10.611129
068-350-053-000,068-350-053-000,,shasta,2025,1002,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068350053000/2025/0000,2026-07-01T16:41:11.210505
068-400-001-000,068-400-001-000,,shasta,2025,1002,CS,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/068400001000/2025/0000,2026-07-01T16:41:11.894342
800-013-818-000,068-400-007-000,3075 CHURN CREEK RD #STE B,shasta,2025,1002,CU,HOT,0.85,$140.06,$0.00,$140.06,LATE,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800013818000/2025/0000,2026-07-01T16:41:14.450930
800-000-316-000,068-400-009-000,1045 HARTNELL AVE,shasta,2025,1002,CU,HOT,0.85,"$1,844.83","$1,844.83",$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800000316000/2025/0000,2026-07-01T16:41:16.686903
800-009-668-000,068-400-011-000,1083 HARTNELL AVE,shasta,2025,1002,CU,HOT,0.85,$50.80,$50.80,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800009668000/2025/0000,2026-07-01T16:41:18.056277
800-013-402-000,068-400-011-000,1073 HARTNELL AVE,shasta,2025,1002,CU,HOT,0.85,$96.77,$96.77,$0.00,PAID,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800013402000/2025/0000,2026-07-01T16:41:18.755699
800-002-086-000,068-400-012-000,916 E CYPRESS AVE #600,shasta,2025,1002,DU,HOT,0.85,$0.00,$0.00,$0.00,Delinquent,Delinquent,True,https://common2.mptsweb.com/MBC/shasta/tax/main/800002086000/2025/0000,2026-07-01T16:41:20.109102
