asmt,asmt_raw,address,year,roll_year,tra,roll_cat,fee_parcel,detail_url,county,discovered_at
005-100-050-000,5100050000,4076 FORT PECK ST,2025,0,3026,CS,005-100-050-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100050000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-051-000,5100051000,4080 FORT PECK ST,2025,0,3026,CS,005-100-051-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100051000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-052-000,5100052000,4084 FORT PECK ST,2025,0,3026,CS,005-100-052-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100052000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-053-000,5100053000,4100 FORT PECK ST,2025,0,3026,CS,005-100-053-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100053000/2025/0000,shasta,2026-07-01T05:02:42.035888
990-183-900-000,990183900000,4100 FORT PECK ST,2025,0,3026,SS,005-100-053-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990183900000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-054-000,5100054000,4112 FORT PECK ST,2025,0,3026,CS,005-100-054-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100054000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-055-000,5100055000,4124 FORT PECK ST,2025,0,3026,CS,005-100-055-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100055000/2025/0000,shasta,2026-07-01T05:02:42.035888
995-064-724-000,995064724000,4124 FORT PECK ST,2025,0,3026,SS,005-100-055-000,https://common2.mptsweb.com/MBC/shasta/tax/main/995064724000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-056-000,5100056000,4144 FORT PECK ST,2025,0,3026,CS,005-100-056-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100056000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-057-000,5100057000,4156 FORT PECK ST,2025,0,3026,CS,005-100-057-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100057000/2025/0000,shasta,2026-07-01T05:02:42.035888
830-021-131-000,830021131000,4156 FORT PECK ST,2025,0,3026,CU,005-100-057-000,https://common2.mptsweb.com/MBC/shasta/tax/main/830021131000/2025/0000,shasta,2026-07-01T05:02:42.035888
990-184-635-000,990184635000,4156 FORT PECK ST,2025,0,3026,SS,005-100-057-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990184635000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-058-000,5100058000,1800 MONTANA AVE,2025,0,3026,CS,005-100-058-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100058000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-059-000,5100059000,1836 MONTANA AVE,2025,0,3026,CS,005-100-059-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100059000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-060-000,5100060000,4137 LA MESA AVE,2025,0,3026,CS,005-100-060-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100060000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-061-000,5100061000,4125 LA MESA AVE,2025,0,3026,CS,005-100-061-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100061000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-062-000,5100062000,4115 LA MESA AVE,2025,0,3026,CS,005-100-062-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100062000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-063-000,5100063000,,2025,0,3026,CS,005-100-063-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100063000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-064-000,5100064000,4105 LA MESA AVE,2025,0,3026,CS,005-100-064-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100064000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-065-000,5100065000,1842 SAN GORGONIO AVE,2025,0,3026,CS,005-100-065-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100065000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-066-000,5100066000,4077 LA MESA AVE,2025,0,3026,CS,005-100-066-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100066000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-069-000,5100069000,4051 LA MESA AVE,2025,0,3026,CS,005-100-069-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100069000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-070-000,5100070000,4045 LA MESA AVE,2025,0,3026,CS,005-100-070-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100070000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-071-000,5100071000,4041 LA MESA AVE,2025,0,3026,CS,005-100-071-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100071000/2025/0000,shasta,2026-07-01T05:02:42.035888
910-807-529-000,910807529000,4041 LA MESA AVE,2025,0,3026,CS,005-100-071-000,https://common2.mptsweb.com/MBC/shasta/tax/main/910807529000/2025/0000,shasta,2026-07-01T05:02:42.035888
995-059-486-000,995059486000,4041 LA MESA AVE,2025,0,3026,SS,005-100-071-000,https://common2.mptsweb.com/MBC/shasta/tax/main/995059486000/2025/0000,shasta,2026-07-01T05:02:42.035888
995-066-242-000,995066242000,4041 LA MESA AVE,2025,0,3026,SS,005-100-071-000,https://common2.mptsweb.com/MBC/shasta/tax/main/995066242000/2025/0000,shasta,2026-07-01T05:02:42.035888
996-059-486-000,996059486000,4041 LA MESA AVE,2025,0,3026,SS,005-100-071-000,https://common2.mptsweb.com/MBC/shasta/tax/main/996059486000/2025/0000,shasta,2026-07-01T05:02:42.035888
005-100-072-000,5100072000,4037 LA MESA AVE,2025,0,3026,CS,005-100-072-000,https://common2.mptsweb.com/MBC/shasta/tax/main/005100072000/2025/0000,shasta,2026-07-01T05:02:42.035888
990-181-335-000,990181335000,4037 LA MESA AVE,2025,0,3026,SS,005-100-072-000,https://common2.mptsweb.com/MBC/shasta/tax/main/990181335000/2025/0000,shasta,2026-07-01T05:02:42.035888
991-181-335-000,991181335000,4037 LA MESA AVE,2025,0,3026,SS,005-100-072-000,https://common2.mptsweb.com/MBC/shasta/tax/main/991181335000/2025/0000,shasta,2026-07-01T05:02:42.035888
